#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
34,Bajan Canadian @UCuj1Ms9_LCsQPSJ4p8nvOVA,5.7M,-,Canada,,1.7M,Bajan Canadian,5700000,"1,839,471,342",4476
35,BENOFTHEWEEK @UC_UnVDztkvE1hw064XFTNSQ,5.7M,-,Canada,,1.7M,BENOFTHEWEEK,5700000,"2,518,363,658",385
36,JustDustin @UCau_n8AK1uk3Ys5bEnRAoqg,5.5M,0.40%,Canada,,1.6M,JustDustin,5500000,"1,250,498,935",334
37,ElectroBOOM @UCJ0-OtVpF0wOKEqT2Z1HEtA,5.2M,1.10%,Canada,,1.6M,ElectroBOOM,5200000,"914,316,942",281
38,ExplodingTNT @UC2nZMhZ2qG5-xpqb440WLYg,5.1M,0.40%,Canada,,1.5M,ExplodingTNT,5100000,"1,508,392,997",707
39,Furious Pete @UCspJ-h5Mw9_zeEhJDzMpkkA,5.1M,-,Canada,,1.5M,Furious Pete,5100000,"1,064,657,457",828
40,JoBlo Movie Clips @UC6LDwTYRfjQwkakw5R95OyA,5M,-,Canada,,1.5M,JoBlo Movie Clips,5000000,"3,312,219,977",4429
41,MDMotivator @UCV60-YzrBdQBKHxvgeu9sIw,4.8M,-,Canada,,1.4M,MDMotivator,4800000,"4,483,167,617",508
42,Jeremy Ethier @UCERm5yFZ1SptUEU4wZ2vJvw,4.7M,-,Canada,,1.4M,Jeremy Ethier,4700000,"828,155,806",271
43,MsMojo @UC3rLoj87ctEHCcS7BuvIzkQ,4.7M,-,Canada,,1.4M,MsMojo,4700000,"2,807,959,998",7820
